name_id,pokemon_id,language,name
0001_zh_hans,0001,zh_hans,妙蛙种子
0001_zh_hant,0001,zh_hant,妙蛙種子
0001_en,0001,en,Bulbasaur
0001_fr,0001,fr,Bulbasaur
0001_de,0001,de,Bisasam
0001_it,0001,it,Bulbasaur
0001_es,0001,es,Bulbasaur
0001_ja,0001,ja,フシギダネ
0001_ko,0001,ko,이상해씨
0002_zh_hans,0002,zh_hans,妙蛙草
0002_zh_hant,0002,zh_hant,妙蛙草
0002_en,0002,en,Ivysaur
0002_fr,0002,fr,Ivysaur
0002_de,0002,de,Bisaknosp
0002_it,0002,it,Ivysaur
0002_es,0002,es,Ivysaur
0002_ja,0002,ja,フシギソウ
0002_ko,0002,ko,이상해풀
0003_zh_hans,0003,zh_hans,妙蛙花
0003_zh_hant,0003,zh_hant,妙蛙花
0003_en,0003,en,Venusaur
0003_fr,0003,fr,Venusaur
0003_de,0003,de,Bisaflor
0003_it,0003,it,Venusaur
0003_es,0003,es,Venusaur
0003_ja,0003,ja,フシギバナ
0003_ko,0003,ko,이상해꽃
0004_zh_hans,0004,zh_hans,小火龙
0004_zh_hant,0004,zh_hant,小火龍
0004_en,0004,en,파이리 Pairi
0004_fr,0004,fr,파이리 Pairi
0004_de,0004,de,Glumanda
0004_it,0004,it,Charmander
0004_es,0004,es,Charmander
0004_ja,0004,ja,ヒトカゲ
0004_ko,0004,ko,파이리
0005_zh_hans,0005,zh_hans,火恐龙
0005_en,0005,en,Charmeleon
0005_fr,0005,fr,Charmeleon
0005_zh_hant,0005,zh_hant,火恐龍
0005_de,0005,de,Glutexo
0005_it,0005,it,Charmeleon
0005_es,0005,es,Charmeleon
0005_ja,0005,ja,リザード
0005_ko,0005,ko,리자드
0006_zh_hans,0006,zh_hans,喷火龙
0006_en,0006,en,리자몽 Rijamong
0006_fr,0006,fr,리자몽 Rijamong
0006_zh_hant,0006,zh_hant,噴火龍
0006_de,0006,de,Glurak
0006_it,0006,it,Charizard
0006_es,0006,es,Charizard
0006_ja,0006,ja,リザードン
0006_ko,0006,ko,리자몽
0007_zh_hans,0007,zh_hans,杰尼龟
0007_zh_hant,0007,zh_hant,傑尼龜
0007_en,0007,en,Squirtle
0007_fr,0007,fr,Squirtle
0007_de,0007,de,Schiggy
0007_it,0007,it,Squirtle
0007_es,0007,es,Squirtle
0007_ja,0007,ja,ゼニガメ
0007_ko,0007,ko,꼬부기
0008_zh_hans,0008,zh_hans,卡咪龟
0008_en,0008,en,Wartortle
0008_fr,0008,fr,Wartortle
0008_zh_hant,0008,zh_hant,卡咪龜
0008_de,0008,de,Schillok
0008_it,0008,it,Wartortle
0008_es,0008,es,Wartortle
0008_ja,0008,ja,カメール
0008_ko,0008,ko,어니부기
0009_zh_hans,0009,zh_hans,水箭龟
0009_en,0009,en,Blastoise
0009_fr,0009,fr,Blastoise
0009_zh_hant,0009,zh_hant,水箭龜
0009_de,0009,de,Turtok
0009_it,0009,it,Blastoise
0009_es,0009,es,Blastoise
0009_ja,0009,ja,カメックス
0009_ko,0009,ko,거북왕
0010_zh_hans,0010,zh_hans,绿毛虫
0010_en,0010,en,Caterpie
0010_fr,0010,fr,Caterpie
0010_zh_hant,0010,zh_hant,綠毛蟲
0010_de,0010,de,Raupy
0010_it,0010,it,Caterpie
0010_es,0010,es,Caterpie
0010_ja,0010,ja,キャタピー
0010_ko,0010,ko,캐터피
0011_zh_hans,0011,zh_hans,铁甲蛹
0011_en,0011,en,Metapod
0011_fr,0011,fr,Metapod
0011_zh_hant,0011,zh_hant,鐵甲蛹
0011_de,0011,de,Safcon
0011_it,0011,it,Metapod
0011_es,0011,es,Metapod
0011_ja,0011,ja,トランセル
0011_ko,0011,ko,단데기
0012_zh_hans,0012,zh_hans,巴大蝶
0012_en,0012,en,버터플 Butterfle
0012_fr,0012,fr,버터플 Butterfle
0012_zh_hant,0012,zh_hant,巴大蝶
0012_de,0012,de,Smettbo
0012_it,0012,it,Butterfree
0012_es,0012,es,Butterfree
0012_ja,0012,ja,バタフリー
0012_ko,0012,ko,버터플
0013_zh_hans,0013,zh_hans,独角虫
0013_en,0013,en,Weedle
0013_fr,0013,fr,Weedle
0013_zh_hant,0013,zh_hant,獨角蟲
0013_de,0013,de,Hornliu
0013_it,0013,it,Weedle
0013_es,0013,es,Weedle
0013_ja,0013,ja,ビードル
0013_ko,0013,ko,뿔충이
0014_zh_hans,0014,zh_hans,铁壳蛹
0014_en,0014,en,Kakuna
0014_fr,0014,fr,Kakuna
0014_zh_hant,0014,zh_hant,鐵殼蛹
0014_de,0014,de,Kokuna
0014_it,0014,it,Kakuna
0014_es,0014,es,Kakuna
0014_ja,0014,ja,コクーン
0014_ko,0014,ko,딱충이
0015_zh_hans,0015,zh_hans,大针蜂
0015_en,0015,en,Beedrill
0015_fr,0015,fr,Beedrill
0015_zh_hant,0015,zh_hant,大針蜂
0015_de,0015,de,Bibor
0015_it,0015,it,Beedrill
0015_es,0015,es,Beedrill
0015_ja,0015,ja,スピアー
0015_ko,0015,ko,독침붕
0016_zh_hans,0016,zh_hans,波波
0016_zh_hant,0016,zh_hant,波波
0016_en,0016,en,Pidgey
0016_fr,0016,fr,Pidgey
0016_de,0016,de,Taubsi
0016_it,0016,it,Pidgey
0016_es,0016,es,Pidgey
0016_ja,0016,ja,ポッポ
0016_ko,0016,ko,구구
0017_zh_hans,0017,zh_hans,比比鸟
0017_en,0017,en,피죤 Pijyon
0017_fr,0017,fr,피죤 Pijyon
0017_zh_hant,0017,zh_hant,比比鳥
0017_it,0017,it,Pidgeotto
0017_de,0017,de,Tauboga
0017_es,0017,es,Pidgeotto
0017_ja,0017,ja,ピジョン
0017_ko,0017,ko,피죤
0018_zh_hans,0018,zh_hans,大比鸟
0018_en,0018,en,피죤투 Pijyontu
0018_fr,0018,fr,피죤투 Pijyontu
0018_zh_hant,0018,zh_hant,大比鳥
0018_de,0018,de,Tauboss
0018_it,0018,it,Pidgeot
0018_es,0018,es,Pidgeot
0018_ja,0018,ja,ピジョット
0018_ko,0018,ko,피죤투
0019_zh_hans,0019,zh_hans,小拉达
0019_zh_hant,0019,zh_hant,小拉達
0019_en,0019,en,꼬렛 Kkoret
0019_fr,0019,fr,꼬렛 Kkoret
0019_de,0019,de,Rattfratz
0019_it,0019,it,Rattata
0019_es,0019,es,Rattata
0019_ja,0019,ja,コラッタ
0019_ko,0019,ko,꼬렛
